sample,timestamp,voltage
1,2026-01-23 19:07:34.464347,-0.31036376953125
2,2026-01-23 19:07:34.484728,-0.30975341796875
3,2026-01-23 19:07:34.503820,-0.3106689453125
4,2026-01-23 19:07:34.525115,-0.30975341796875
5,2026-01-23 19:07:34.545259,-0.30975341796875
6,2026-01-23 19:07:34.566043,-0.30853271484375
7,2026-01-23 19:07:34.586510,-0.30853271484375
8,2026-01-23 19:07:34.606183,-0.3082275390625
9,2026-01-23 19:07:34.626754,-0.3094482421875
10,2026-01-23 19:07:34.647136,-0.30914306640625
11,2026-01-23 19:07:34.667700,-0.30914306640625
12,2026-01-23 19:07:34.687133,-0.30914306640625
13,2026-01-23 19:07:34.708191,-0.30975341796875
14,2026-01-23 19:07:34.728875,-0.30853271484375
15,2026-01-23 19:07:34.749202,-0.30853271484375
16,2026-01-23 19:07:34.769841,-0.30975341796875
17,2026-01-23 19:07:34.789241,-0.31036376953125
18,2026-01-23 19:07:34.810137,-0.30975341796875
19,2026-01-23 19:07:34.831601,-0.31005859375
20,2026-01-23 19:07:34.852154,-0.30975341796875
21,2026-01-23 19:07:34.871873,-0.3094482421875
22,2026-01-23 19:07:34.891845,-0.30975341796875
23,2026-01-23 19:07:34.911116,-0.30975341796875
24,2026-01-23 19:07:34.931751,-0.3094482421875
25,2026-01-23 19:07:34.951332,-0.30975341796875
26,2026-01-23 19:07:34.971254,-0.31005859375
27,2026-01-23 19:07:34.991264,-0.31036376953125
28,2026-01-23 19:07:35.012300,-0.3106689453125
29,2026-01-23 19:07:35.031883,-0.3106689453125
30,2026-01-23 19:07:35.052350,-0.31005859375
31,2026-01-23 19:07:35.072014,-0.311279296875
32,2026-01-23 19:07:35.091925,-0.31097412109375
33,2026-01-23 19:07:35.111878,-0.31158447265625
34,2026-01-23 19:07:35.132145,-0.31158447265625
35,2026-01-23 19:07:35.151870,-0.31158447265625
36,2026-01-23 19:07:35.172456,-0.3125
37,2026-01-23 19:07:35.193324,-0.31219482421875
38,2026-01-23 19:07:35.214799,-0.31341552734375
39,2026-01-23 19:07:35.236480,-0.313720703125
40,2026-01-23 19:07:35.256719,-0.3143310546875
41,2026-01-23 19:07:35.276834,-0.31524658203125
42,2026-01-23 19:07:35.296864,-0.31524658203125
