Frequency;CurrentSet;Current;Voltage Drop;Crack size
30.0;150.0;1835.0;2912.0;0.0
30.0;150.0;1805.0;2902.0;0.0
30.0;150.0;1838.0;2921.0;0.0
30.0;150.0;1818.0;2919.0;0.0
30.0;150.0;1850.0;2950.0;0.0
30.0;150.0;1823.0;2921.0;0.0
30.0;150.0;1825.0;2929.0;0.0
30.0;150.0;1838.0;2934.0;0.0
30.0;150.0;1838.0;2935.0;0.0
30.0;150.0;1834.0;2933.0;0.0
30.0;150.0;1832.0;2932.0;0.0
30.0;150.0;1832.0;2932.0;0.0
30.0;150.0;1831.0;2934.0;0.0
30.0;150.0;1837.0;2937.0;0.0
30.0;150.0;1909.0;2962.0;0.0
30.0;150.0;1814.0;2908.0;0.0
30.0;150.0;1822.0;2923.0;0.0
30.0;150.0;1832.0;2934.0;0.0
30.0;150.0;1836.0;2937.0;0.0
30.0;150.0;1838.0;2944.0;0.0
30.0;150.0;1828.0;2928.0;0.0
30.0;150.0;1843.0;2930.0;0.0
30.0;150.0;1852.0;2928.0;0.0
30.0;150.0;1847.0;2929.0;0.0
30.0;150.0;1814.0;2912.0;0.0
30.0;150.0;1894.0;2943.0;0.0
30.0;150.0;1806.0;2911.0;0.0
30.0;150.0;1828.0;2932.0;0.0
30.0;150.0;1843.0;2935.0;0.0
30.0;150.0;1840.0;2929.0;0.0
30.0;150.0;1822.0;2932.0;0.0
30.0;150.0;1833.0;2921.0;0.0
30.0;150.0;1819.0;2924.0;0.0
30.0;150.0;1839.0;2936.0;0.0
30.0;150.0;1835.0;2934.0;0.0
30.0;150.0;1832.0;2931.0;0.0
30.0;150.0;1834.0;2933.0;0.0
30.0;150.0;1862.0;2933.0;0.0
30.0;150.0;1842.0;2918.0;0.0
30.0;150.0;1863.0;2953.0;0.0
30.0;150.0;1803.0;2908.0;0.0
30.0;150.0;1847.0;2933.0;0.0
30.0;150.0;1864.0;2938.0;0.0
30.0;150.0;1834.0;2930.0;0.0
30.0;150.0;1809.0;2915.0;0.0
30.0;150.0;1853.0;2923.0;0.0
30.0;150.0;1841.0;2932.0;0.0
30.0;150.0;1814.0;2928.0;0.0
30.0;150.0;1821.0;2924.0;0.0
30.0;150.0;1833.0;2933.0;0.0
30.0;200.0;5009.0;3862.0;0.0
30.0;200.0;5004.0;3864.0;0.0
30.0;200.0;5017.0;3870.0;0.0
30.0;200.0;5016.0;3868.0;0.0
30.0;200.0;5017.0;3870.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5017.0;3869.0;0.0
30.0;200.0;5015.0;3869.0;0.0
30.0;200.0;5017.0;3869.0;0.0
30.0;200.0;5014.0;3868.0;0.0
30.0;200.0;5013.0;3869.0;0.0
30.0;200.0;5016.0;3869.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5016.0;3870.0;0.0
30.0;200.0;5015.0;3867.0;0.0
30.0;200.0;5015.0;3870.0;0.0
30.0;200.0;5014.0;3870.0;0.0
30.0;200.0;5013.0;3870.0;0.0
30.0;200.0;5014.0;3870.0;0.0
30.0;200.0;5017.0;3870.0;0.0
30.0;200.0;5017.0;3869.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5013.0;3867.0;0.0
30.0;200.0;5016.0;3867.0;0.0
30.0;200.0;5017.0;3868.0;0.0
30.0;200.0;5013.0;3868.0;0.0
30.0;200.0;5016.0;3868.0;0.0
30.0;200.0;5016.0;3869.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5013.0;3868.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5013.0;3869.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5013.0;3870.0;0.0
30.0;200.0;5013.0;3869.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5015.0;3870.0;0.0
30.0;200.0;5017.0;3871.0;0.0
30.0;200.0;5012.0;3869.0;0.0
30.0;200.0;5019.0;3870.0;0.0
30.0;200.0;5021.0;3870.0;0.0
30.0;200.0;5016.0;3869.0;0.0
30.0;200.0;5016.0;3867.0;0.0
30.0;200.0;5014.0;3867.0;0.0
30.0;200.0;5012.0;3867.0;0.0
30.0;200.0;5015.0;3868.0;0.0
30.0;200.0;5013.0;3869.0;0.0
30.0;200.0;5011.0;3867.0;0.0
30.0;200.0;5013.0;3871.0;0.0
30.0;200.0;5013.0;3869.0;0.0
30.0;200.0;5015.0;3871.0;0.0
30.0;200.0;5013.0;3870.0;0.0
30.0;200.0;5015.0;3870.0;0.0
30.0;200.0;5015.0;3870.0;0.0
30.0;200.0;5014.0;3869.0;0.0
30.0;200.0;5016.0;3871.0;0.0
